,community_vitality_score
0,39.0678127152246
1,21.951828943923267
2,43.972891722383046
3,42.85356576274674
4,33.11889557381349
5,27.98737421417072
6,7.464592807166675
7,30.515219372666326
8,25.671291287435878
9,29.23095096790028
10,33.707500075193245
11,44.13872238304631
12,39.590495889480074
13,24.81445264199842
14,25.0
15,35.45954917354621
16,17.759433004835007
17,43.403337920568646
18,29.86619154857602
19,32.68261705323445
20,37.812982827071885
21,22.682617053234452
22,27.73828725235458
23,12.73828725235458
24,11.808799421299508
25,0.0
26,14.31362719587948
27,40.241690865711575
28,7.283034561492935
29,34.92963849500596
30,5.795679379631091
31,49.70760285680722
32,15.983000066253238
33,31.815496044782904
34,19.23095096790028
35,41.65978864559446
36,7.379529873164795
37,41.337780639964215
38,25.210442093858973
39,26.401275556188438
40,30.430435713556697
41,22.930532606373802
42,1.5321128295824826
43,33.45107918714474
44,23.97381695801051
45,22.620442797971222
46,46.733832298910066
47,26.235325115817766
48,26.69617430939467
49,4.230950967900281
50,18.166574561594807
51,12.075116304116769
52,31.08832996838874
53,40.131598600539746
54,0.0
55,37.1089097823639
56,22.055870018721663
57,35.96869100387259
58,25.727166076394166
59,36.009439877780586
60,17.208962953813046
61,0.8050621518211389
62,33.71450270352617
63,1.0248830219587939
64,25.389642441283055
65,27.885548223872938
66,19.23095096790028
67,32.62044279797122
68,25.239728303408548
69,32.03689187792515
70,41.25016219637031
71,36.12013357195476
72,21.477972409671796
73,47.88125379870795
74,29.56847460301139
75,39.341983478338
76,42.10444010070506
77,19.603824790313393
78,15.727166076394164
79,29.56847460301139
80,25.210442093858973
81,26.376262838777937
82,10.319280936289019
83,30.684123167274286
84,2.3160829267348473
85,0.7271660763941649
86,35.31507142013362
87,36.02800919869553
88,25.0
89,48.30468136387833
90,29.86619154857602
91,34.824308592870466
92,31.08832996838874
93,58.868631323841
94,38.263131574087836
95,29.23095096790028
96,51.61178072899203
97,35.873613042096785
98,25.0
99,29.23095096790028
100,35.16183222798158
101,48.132178902060964
102,25.389642441283055
103,29.23095096790028
104,45.63415089724382
105,31.477972409671796
106,31.08832996838874
107,43.79490058370645
108,30.373421356199707
109,28.841308526617226
110,28.841308526617226
111,30.59335762497018
112,25.727166076394166
113,44.596498379568985
114,44.60332597819347
115,30.98300006625324
116,29.23095096790028
117,37.316144627556014
118,29.86619154857602
119,25.727166076394166
120,22.379529873164795
121,56.3228393984274
122,37.20340411701836
123,34.21472988281693
124,23.07225949451751
125,24.9986999799693
126,44.2311965289756
127,32.28303456149293
128,33.97381695801051
129,32.3795298731648
130,39.252655025241054
131,50.25192375150658
132,25.0
133,23.230021508024752
134,25.0
135,25.389642441283055
136,28.841308526617226
137,33.86076563010562
138,26.19489549090352
139,25.50105704983217
140,15.727166076394164
141,24.929638495005964
142,32.918275142168675
143,24.525846487109046
144,17.096262056597194
145,26.024883021958793
146,32.95435816867948
147,26.58897855116185
148,46.38695016900223
149,9.636987906248319
150,46.99216420938458
151,53.1560935368116
152,17.141691539636014
153,28.841308526617226
154,10.596213404367298
155,42.144766745916044
156,27.66616272352329
157,8.409783129628618
158,15.805062151821138
159,29.23095096790028
160,35.67372574128312
161,39.84826215495373
162,36.75074907832226
163,44.48810305460004
164,31.367833547211042
165,24.03508365984589
166,3.841308526617225
167,18.903455453016473
168,49.822773696313156
169,17.632454366899168
170,45.03882092932426
171,26.079138481023175
172,16.67166134130661
173,8.48767920505559
174,29.18043782712944
175,15.0
176,35.686434372837944
177,52.953320614801
178,44.59148412735706
179,27.31576361687164
180,31.76926792137725
181,15.980435921589411
182,18.841308526617226
183,4.56847460301139
184,43.31079292340662
185,42.60457410198439
186,32.85423524844973
187,42.2688823613565
188,34.21472988281693
189,5.593357624970183
190,59.954324007922835
191,28.263131574087836
192,28.166574561594807
193,11.060933728718929
194,49.41511778755034
195,37.01644307272545
196,50.86383017511152
197,13.056038409434159
198,32.88060435961209
199,29.23095096790028
200,44.12807027679032
201,29.56847460301139
202,48.16869844460287
203,21.96245360517321
204,34.22288041595358
205,31.275351337969116
206,52.9254061464425
207,22.682617053234452
208,33.002211294723274
209,15.0
210,33.65862791456787
211,42.19650566303987
212,19.41234498333204
213,27.14039151960531
214,24.63698790624832
215,43.5655965175432
216,15.0
217,33.9792088708876
218,17.776932120311752
219,41.68814203996544
220,25.389642441283055
221,25.727166076394166
222,31.477972409671796
223,40.09307674786777
224,7.379529873164795
225,42.1737815986664
226,45.667670208066795
227,20.13250843139328
228,33.14469876664866
229,39.919319838605546
230,42.91201033628897
231,15.389642441283057
232,15.727166076394164
233,1.7520490983529584
234,28.13071483585539
235,16.75204909835296
236,25.019792034638073
237,42.21203843144162
238,21.08832996838874
239,32.00788308821203
240,19.56847460301139
241,26.024883021958793
242,28.84000850658652
243,31.40340138852236
244,17.479215174747125
245,15.0
246,26.39845736383004
247,28.118562784471756
248,16.024883021958793
