full_name,external_appeal_score
Leox1024/homelab-ansible-ops,0.37
frankligy/pan_cancer_intracellular_antigen_atlas,0.3
Olshansk/rss-feeds,0.42999999999999994
doms9/iptv,0.41000000000000003
DanPeled/Synapse,0.34750000000000003
dipi-unimore/mininet-gym,0.335
typegg-io/eggert-bot,0.30500000000000005
nghiahsgs/iqair-dataset,0.335
Fzkuji/Ensemble-Hub,0.37500000000000006
Phylmox/OpenBB-finance,0.335
Quivnex/blankly-finance,0.37500000000000006
Raidensz/OTP-Bot-Telegram,0.475
Raidensz/NB-OTP-Bot-Telegram,0.43999999999999995
tom-doerr/repo_posts,0.395
sexfrance/Spotify-ClientVersion,0.335
Krexind/quant-trading,0.37
Orinks/AccessiWeather,0.335
dr-schlange/nallely-midi,0.43000000000000005
sciknoworg/YESciEval,0.335
Vulthen/myhhub-stock-quantitative,0.43999999999999995
miladtahanian/V2RayScrapeByCountry,0.37
levispark/gen-playlist,0.405
vlad-ds/ai-trader-frontend,0.37500000000000006
cm851228/my51228888,0.34
abusaeeidx/Yupptv-Playlist,0.37
wisebobo/clashNodes,0.265
JERRYZFC/yxip_git_action,0.37
WulfgarW/homeassistant-pycupra,0.37
DeterminateSystems/flakehub-cache-action,0.30500000000000005
100rabhsah/ai-news-aggregator,0.43999999999999995
z562261070/Cailianpress-Feishu-Bot,0.3
machka-pasla/remnawave-tg-shop,0.47
T3stAcc/V2Ray,0.335
kmnhan/xarray-lmfit,0.37500000000000006
thexnumb/thexwriteup,0.3
V2RayRoot/V2RayConfig,0.405
rango-cfs/NewCollector,0.30500000000000005
Skillter/ProxyGather,0.405
Vanic24/VPN,0.34
maoist2009/HTTPS_IP_finder,0.335
redgreat/stepwong,0.43999999999999995
DeterminateSystems/determinate-nix-action,0.335
tutw/platinsport-m3u-updater,0.265
stephansturges/Tator,0.37
WulfgarW/pycupra,0.34
TomoeMami/S1PlainTextArchive2025,0.3
SECTL/SecRandom,0.4175
cs3306/IPTV-Sources,0.37500000000000006
PaulH97/Sen12Landslides,0.37500000000000006
cyh92/iptv-api3,0.265
Zhalslar/astrbot_plugin_browser,0.335
redfree8/config-fetcher,0.37
cook369/proxy-collect,0.37500000000000006
davxy/jam-conformance,0.46499999999999997
MinZin100000/Project-0,0.265
melogabriel/tinfoil-shops-status,0.46499999999999997
anton-prosterity/documentation-search-mcp,0.3
vulnebify/cidre,0.37
soulripper13/hass-speedtest-ookla,0.335
arschlochnop/VulnWatchdog,0.37
Lokam-AI/lokamspace,0.3
usemanusai/CodeMAD,0.265
ridwaanhall/ridwaanhall-com,0.37
ARUNAGIRINATHAN-K/ARUNAGIRINATHAN-K,0.265
ASTRACAT2022/VPN-FREE-astra.net-V1,0.335
Oaklight/onehub_prices,0.335
namegenliang/fast-github-access,0.3
theriturajps/proxy-list,0.335
BuddyChewChew/localnow-playlist-generator,0.37500000000000006
IsaacCheng9/order-book-simulator,0.34750000000000003
uzumstanley/PHIDATA,0.475
jm-cook/mspa-homeassistant,0.37
dp-web4/Synchronism,0.34
arthur-ai/arthur-engine,0.43000000000000005
cnpjpw/cnpjpw,0.335
Drakkar-Software/OctoBot-Market-Making,0.41000000000000003
TheSmartDevs/SmartUtilBot,0.475
galaxyproject/galaxy-mcp,0.405
apprevenew-com/firebase-remote-config-python,0.3
ssmugabi/IDAPlugins,0.335
Gotti0/batch_translator_with_gemini_ko,0.34
teraha-dev/statsfm-to-markdown,0.335
kadirsener1/CanliTvListe,0.37
VIDA-NYU/UrbanMapper,0.37
andyjud/tiktok-clone,0.3
the-bird-F/Expressive-Vectors,0.265
sanderland/script_tok,0.37
jerome-benoit/freqai-strategies,0.37500000000000006
Ofcremeo/PlateYOLO-JP-Prototype,0.335
marcosomma/orka-reasoning,0.4175
Armaan29-09-2005/AI-OSINT-Security-Analyzer,0.335
Zayden-Cyber/Backdoor,0.41000000000000003
corrupt0303/dating-agent,0.37500000000000006
Aeron1-bit/PyWxDump,0.57
shashank2122/Local-Voice,0.41000000000000003
luticuzokz53/real_estate_leadbot_public,0.335
ooyinet/WeClone,0.505
sorin177/ai-analyst-agent,0.41000000000000003
TraceDesigns/MegaETH-Faucet,0.335
bensugursoy/Drone-Swarm-RL-airsim-sb3,0.335
Crezy-haker/videocutterAI,0.37
Willywillisonq24324/telegram-member-adder-scrapper,0.475
Yghan31/multi-tracking-YOLOv8-ByteTrack,0.335
Ahm-rgb/Alpha-SQL,0.335
racanreggo6v42/DDoS,0.475
techdomegh/ai-news-scraper,0.37500000000000006
irfanbob26/AI-Chatbot,0.37500000000000006
NayanMistry534/discord-raider-tool,0.475
Arman171/WebForensic,0.335
Mojo96666/hack-crypto-wallets,0.335
REVERSEDCD/jobspy-api,0.335
thinker84/Real-Time-stock-price-prediction-and-market-analysis-using-Machine-Learning,0.37
DennisDRX/Faraday-Web-Researcher-Agent,0.335
waelsultan28/youtube-shorts-automation,0.41000000000000003
militarandroid/cybersecurity_hack,0.41000000000000003
youmeat6678/Instagram-Hashtag-Scraper,0.37
benkhelifamohamedtaher/speech-emotion-recognition,0.335
Creature-112/gemini-live,0.43999999999999995
incno/WhatsApp-Spam-Bot,0.335
hoangtuanhehehehhe/AgentVault,0.335
omerso901/HRMedSeg,0.34
SHANMUGAM070106/cursor-free-vip,0.505
luwhano/fastapi-langgraph-agent-production-ready-template,0.37
amad890/cloudflare-temp-mail,0.37500000000000006
iniarfia/mcp-server-mas-sequential-thinking,0.34
riccorik/cursor-auto-icloud,0.37500000000000006
kuroyaii/free-ip-stresser,0.475
AlejandroZaZ/cybersecurity-tools,0.37500000000000006
Spac5y/Vocal-Agent,0.37500000000000006
JbvrgtonYT/ollvm-unflattener,0.37500000000000006
vrishank-cmd/Whatsapp-Bot,0.41000000000000003
Oliveira3d/free-ip-stresser-booter,0.475
sammakumbe/burp-idor,0.335
inspirepan/klaude-code,0.335
mdtajnur22/kiss-slam,0.335
JoseAP02/Font-Downloader,0.335
kastalimohammed1965/CLIP-fine-tune-registers-gated,0.335
gorkaydemir/track_on,0.37
VOICEVOX/voicevox_vvm,0.34
camel52zhang/yxip,0.405
HuichuanLI/play-with-instruct-model,0.3
giuliomagnifico/raiplay-feed,0.405
xiaozhuABCD1234/AutoAnswer_zhihuishu,0.37500000000000006
mkaflowski/Gemini-SRT-translator-GUI,0.335
xychcz/S3Fit,0.3
xxyzz/wiktionary_stardict,0.335
PuddinCat/OllamaSpider,0.37
chengliu97/ProDualNet,0.405
sparklost/endcord,0.46499999999999997
maimengmeng/mysub,0.34
digitaldemocracy2030/polimoney,0.495
hengruiyun/AI-Stock-Master,0.505
huangusaki/PicLingo,0.335
apikusu/altstore,0.335
fansiphone/pachong-tom,0.3
OpenHUTB/nn,0.43
WwZzz/ILStudio,0.335
premiumcreativeuser/live_events_pu,0.30500000000000005
Code-Science/Awesome-AI-Landscape,0.3
YangLang116/auto_gen,0.335
ErgoDevs/Ergo-Bounties,0.46499999999999997
nodesfree/v2raynode,0.37
nodesfree/clashnode,0.37
nbshenxm/pentest-agent,0.4225
w154594742/free-v2ray-node,0.37500000000000006
United-Compute/gpu-price-tracker,0.335
Romihi/annotation_training_d2j,0.265
onlyno999/streamlit.io,0.37
LRFP-Team/LRFP,0.505
HarishM-AIML-A-58/LeetCode_Daily,0.335
eddiehe99/xyzrank,0.475
Zhalslar/astrbot_plugin_reread,0.335
nightah/daddylive,0.34
KNR-PW/Dron_symulacja,0.37
Josh9456/IPTV-m3u,0.37500000000000006
spincat/SmartProxyPipeline,0.3
Ice-001/wxvuln,0.37500000000000006
cbcoutinho/nextcloud-mcp-server,0.43000000000000005
hamedcode/port-based-v2ray-configs,0.405
Zhalslar/astrbot_plugin_relationship,0.335
946727185/auto-ip-update,0.43999999999999995
silasary/apworlds,0.37
djdoolky76/UDPTV,0.3
Kai-One001/cve-,0.265
waterdisappear/ATRNet-STAR,0.46499999999999997
OpenBuilders/access-tool,0.4225
RogoLabs/CNAScoreCard,0.37500000000000006
cavefire/Bose-Homeassistant,0.37
asukaneko/comic-downloader,0.37500000000000006
DCjanus/prompts,0.3
Bittu5134/ORV-Reader,0.57
junlangzi/Lottery-Predictor,0.37500000000000006
krozgrov/ha-omlet-integration,0.37
JEEBIS27/Plover_Mejiro,0.34
