full_name,maintenance_efficiency_score
Leox1024/homelab-ansible-ops,58.099999999999994
frankligy/pan_cancer_intracellular_antigen_atlas,58.55
Olshansk/rss-feeds,64.3
doms9/iptv,57.599999999999994
DanPeled/Synapse,56.55
dipi-unimore/mininet-gym,57.599999999999994
typegg-io/eggert-bot,58.55
nghiahsgs/iqair-dataset,57.599999999999994
Fzkuji/Ensemble-Hub,57.599999999999994
Phylmox/OpenBB-finance,60.55
Quivnex/blankly-finance,64.15
Raidensz/OTP-Bot-Telegram,64.1
Raidensz/NB-OTP-Bot-Telegram,64.1
tom-doerr/repo_posts,57.1
sexfrance/Spotify-ClientVersion,61.3
Krexind/quant-trading,59.349999999999994
Orinks/AccessiWeather,63.599999999999994
dr-schlange/nallely-midi,58.400000000000006
sciknoworg/YESciEval,63.1
Vulthen/myhhub-stock-quantitative,64.5
miladtahanian/V2RayScrapeByCountry,57.599999999999994
levispark/gen-playlist,60.55
vlad-ds/ai-trader-frontend,59.599999999999994
cm851228/my51228888,57.599999999999994
abusaeeidx/Yupptv-Playlist,57.599999999999994
wisebobo/clashNodes,60.55
JERRYZFC/yxip_git_action,57.599999999999994
WulfgarW/homeassistant-pycupra,57.599999999999994
DeterminateSystems/flakehub-cache-action,62.55
100rabhsah/ai-news-aggregator,59.55
z562261070/Cailianpress-Feishu-Bot,57.599999999999994
machka-pasla/remnawave-tg-shop,64.3
T3stAcc/V2Ray,57.599999999999994
kmnhan/xarray-lmfit,60.55
thexnumb/thexwriteup,65.15
V2RayRoot/V2RayConfig,57.599999999999994
rango-cfs/NewCollector,61.599999999999994
Skillter/ProxyGather,57.599999999999994
Vanic24/VPN,61.599999999999994
maoist2009/HTTPS_IP_finder,63.599999999999994
redgreat/stepwong,57.599999999999994
DeterminateSystems/determinate-nix-action,63.599999999999994
tutw/platinsport-m3u-updater,57.599999999999994
stephansturges/Tator,57.599999999999994
WulfgarW/pycupra,61.599999999999994
TomoeMami/S1PlainTextArchive2025,59.599999999999994
SECTL/SecRandom,59.599999999999994
cs3306/IPTV-Sources,57.599999999999994
PaulH97/Sen12Landslides,59.349999999999994
cyh92/iptv-api3,60.55
Zhalslar/astrbot_plugin_browser,57.599999999999994
redfree8/config-fetcher,57.599999999999994
cook369/proxy-collect,60.55
davxy/jam-conformance,58.3
MinZin100000/Project-0,60.55
melogabriel/tinfoil-shops-status,57.1
anton-prosterity/documentation-search-mcp,55.55
vulnebify/cidre,65.35
soulripper13/hass-speedtest-ookla,60.9
arschlochnop/VulnWatchdog,57.599999999999994
Lokam-AI/lokamspace,58.3
usemanusai/CodeMAD,58.55
ridwaanhall/ridwaanhall-com,64.85
ARUNAGIRINATHAN-K/ARUNAGIRINATHAN-K,60.55
ASTRACAT2022/VPN-FREE-astra.net-V1,60.55
Oaklight/onehub_prices,59.349999999999994
namegenliang/fast-github-access,60.55
theriturajps/proxy-list,58.3
BuddyChewChew/localnow-playlist-generator,63.599999999999994
IsaacCheng9/order-book-simulator,59.05
uzumstanley/PHIDATA,59.849999999999994
jm-cook/mspa-homeassistant,63.599999999999994
dp-web4/Synchronism,60.55
arthur-ai/arthur-engine,55.599999999999994
cnpjpw/cnpjpw,60.55
Drakkar-Software/OctoBot-Market-Making,63.599999999999994
TheSmartDevs/SmartUtilBot,57.599999999999994
galaxyproject/galaxy-mcp,63.599999999999994
apprevenew-com/firebase-remote-config-python,60.55
ssmugabi/IDAPlugins,61.35
Gotti0/batch_translator_with_gemini_ko,61.599999999999994
teraha-dev/statsfm-to-markdown,55.05
kadirsener1/CanliTvListe,56.55
VIDA-NYU/UrbanMapper,65.35
andyjud/tiktok-clone,57.599999999999994
the-bird-F/Expressive-Vectors,60.55
sanderland/script_tok,57.599999999999994
jerome-benoit/freqai-strategies,63.599999999999994
Ofcremeo/PlateYOLO-JP-Prototype,62.55
marcosomma/orka-reasoning,63.599999999999994
Armaan29-09-2005/AI-OSINT-Security-Analyzer,62.55
Zayden-Cyber/Backdoor,57.599999999999994
corrupt0303/dating-agent,63.05
Aeron1-bit/PyWxDump,57.6
shashank2122/Local-Voice,58.099999999999994
luticuzokz53/real_estate_leadbot_public,61.25
ooyinet/WeClone,58.35
sorin177/ai-analyst-agent,58.400000000000006
TraceDesigns/MegaETH-Faucet,61.7
bensugursoy/Drone-Swarm-RL-airsim-sb3,61.8
Crezy-haker/videocutterAI,59.599999999999994
Willywillisonq24324/telegram-member-adder-scrapper,60.150000000000006
Yghan31/multi-tracking-YOLOv8-ByteTrack,62.55
Ahm-rgb/Alpha-SQL,62.3
racanreggo6v42/DDoS,58.3
techdomegh/ai-news-scraper,61.05
irfanbob26/AI-Chatbot,63.15
NayanMistry534/discord-raider-tool,59.849999999999994
Arman171/WebForensic,58.8
Mojo96666/hack-crypto-wallets,63.5
REVERSEDCD/jobspy-api,62.6
thinker84/Real-Time-stock-price-prediction-and-market-analysis-using-Machine-Learning,59.349999999999994
DennisDRX/Faraday-Web-Researcher-Agent,60.55
waelsultan28/youtube-shorts-automation,59.599999999999994
militarandroid/cybersecurity_hack,63.05
youmeat6678/Instagram-Hashtag-Scraper,61.349999999999994
benkhelifamohamedtaher/speech-emotion-recognition,62.55
Creature-112/gemini-live,64.1
incno/WhatsApp-Spam-Bot,63.05
hoangtuanhehehehhe/AgentVault,60.55
omerso901/HRMedSeg,63.349999999999994
SHANMUGAM070106/cursor-free-vip,64.3
luwhano/fastapi-langgraph-agent-production-ready-template,63.349999999999994
amad890/cloudflare-temp-mail,57.599999999999994
iniarfia/mcp-server-mas-sequential-thinking,65.55
riccorik/cursor-auto-icloud,57.599999999999994
kuroyaii/free-ip-stresser,58.3
AlejandroZaZ/cybersecurity-tools,64.25
Spac5y/Vocal-Agent,61.599999999999994
JbvrgtonYT/ollvm-unflattener,63.599999999999994
vrishank-cmd/Whatsapp-Bot,59.599999999999994
Oliveira3d/free-ip-stresser-booter,58.3
sammakumbe/burp-idor,62.050000000000004
inspirepan/klaude-code,57.599999999999994
mdtajnur22/kiss-slam,60.55
JoseAP02/Font-Downloader,61.35
kastalimohammed1965/CLIP-fine-tune-registers-gated,62.55
gorkaydemir/track_on,65.35
VOICEVOX/voicevox_vvm,54.55
camel52zhang/yxip,63.599999999999994
HuichuanLI/play-with-instruct-model,60.55
giuliomagnifico/raiplay-feed,56.55
xiaozhuABCD1234/AutoAnswer_zhihuishu,62.55
mkaflowski/Gemini-SRT-translator-GUI,63.599999999999994
xychcz/S3Fit,62.55
xxyzz/wiktionary_stardict,60.55
PuddinCat/OllamaSpider,57.599999999999994
chengliu97/ProDualNet,62.55
sparklost/endcord,64.8
maimengmeng/mysub,57.599999999999994
digitaldemocracy2030/polimoney,59.1
hengruiyun/AI-Stock-Master,64.3
huangusaki/PicLingo,59.599999999999994
apikusu/altstore,60.55
fansiphone/pachong-tom,57.599999999999994
OpenHUTB/nn,56.3
WwZzz/ILStudio,63.599999999999994
premiumcreativeuser/live_events_pu,60.55
Code-Science/Awesome-AI-Landscape,58.55
YangLang116/auto_gen,60.55
ErgoDevs/Ergo-Bounties,55.599999999999994
nodesfree/v2raynode,57.599999999999994
nodesfree/clashnode,57.599999999999994
nbshenxm/pentest-agent,66.75
w154594742/free-v2ray-node,57.599999999999994
United-Compute/gpu-price-tracker,63.599999999999994
Romihi/annotation_training_d2j,60.55
onlyno999/streamlit.io,57.599999999999994
LRFP-Team/LRFP,59.1
HarishM-AIML-A-58/LeetCode_Daily,57.599999999999994
eddiehe99/xyzrank,57.599999999999994
Zhalslar/astrbot_plugin_reread,57.599999999999994
nightah/daddylive,59.599999999999994
KNR-PW/Dron_symulacja,62.55
Josh9456/IPTV-m3u,61.349999999999994
spincat/SmartProxyPipeline,60.55
Ice-001/wxvuln,63.599999999999994
cbcoutinho/nextcloud-mcp-server,55.599999999999994
hamedcode/port-based-v2ray-configs,63.599999999999994
Zhalslar/astrbot_plugin_relationship,57.599999999999994
946727185/auto-ip-update,63.599999999999994
silasary/apworlds,63.599999999999994
djdoolky76/UDPTV,60.55
Kai-One001/cve-,60.55
waterdisappear/ATRNet-STAR,64.3
OpenBuilders/access-tool,59.599999999999994
RogoLabs/CNAScoreCard,58.55
cavefire/Bose-Homeassistant,63.599999999999994
asukaneko/comic-downloader,57.599999999999994
DCjanus/prompts,57.599999999999994
Bittu5134/ORV-Reader,66.05
junlangzi/Lottery-Predictor,57.599999999999994
krozgrov/ha-omlet-integration,59.599999999999994
JEEBIS27/Plover_Mejiro,57.599999999999994
nkapila6/mcp-local-rag,64.3
ClimenteA/social-media-posts-scheduler,63.349999999999994
spyboy-productions/ObfuXtreme,57.9
lizaifu2026/df,57.599999999999994
XargonWan/Synthetic_Heart,57.349999999999994
JoeGaffney/deferred-diffusion,62.15
Liiesl/EasyScanlate,61.349999999999994
umbertogriffo/fastapi-blueprint,61.05
DDSRem-Dev/MoviePilot-Plugins,64.3
hbin0701/Pred-Sent,65.35
nerdai/llm-agents-from-scratch,55.599999999999994
hbq0405/emby-toolkit,63.1
keta1930/mcp-agent-graph,66.05
cavefire/pybose,60.55
0610840119/iptv-api,58.099999999999994
dillfrescott/mvsep-beta,63.25
john-friedman/datamule-indicators,63.599999999999994
mkuthan/solis-cloud-control,63.599999999999994
yoyolicoris/philtorch,63.599999999999994
seud0nym/sigenergy2mqtt,58.849999999999994
Ethan-Men/8159-TV,58.099999999999994
whiteout-project/bot,64.1
Mifta24/auto-quotes,60.55
kingshot-project/Kingshot-Discord-Bot,63.599999999999994
RynoxPrime/SpotiFX,58.400000000000006
Yui007/bato_downloader,63.599999999999994
keekyslusus/SteamFlow,60.55
analyticsinmotion/werx,60.55
plsy1/epg,60.55
eliranwong/agentmake,64.1
