full_name,language,description,stargazers_count,created_at,updated_at,pushed_at,cca_score,ceh_score,ciq_score,community_vitality_score,language_score,recognition_score,csq_score,language_maturity_score,update_recency_score,epm_score,dc_score,code_health_score,ise_score,crq_score,csd_score,maintenance_efficiency_score,tc_score,novel_tech_stack_score,research_connection_score,problem_novelty_score,ti_score,topic_trend_score,industry_application_score,mdm_score,topic_innovation_score,gr_score,vi_score,net_score,external_appeal_score,overall_potential_score,main_topic,num_topics,topic_entropy,overall_potential_score,overall_potential_level
Leox1024/homelab-ansible-ops,Python,"Modular playbooks for system updates, hardening, Docker, Kubernetes, Proxmox VE and more",45,2025-03-29 18:28:25+00:00,2025-12-20 15:05:23+00:00,2025-12-20 15:05:19+00:00,22.490487360027906,18.481610275449853,100,40.464758540418615,88,52.62141114317129,59.18546619903443,88,52.20457767610161,56.31067961165049,25,51.34219765364317,85,46,32,58.099999999999994,76.33817219747695,0.5,0.3,0.5,0.44000000000000006,0.7,0.8,0.7000000000000001,0.6343526887899079,0.3,0.5,0.3,0.37,49.186682941631446,"api, v2ray, free",10,0.7860289050843814,49.186682941631446,潜力中等
frankligy/pan_cancer_intracellular_antigen_atlas,Python,Accompanying codes for pan cancer atlas of intracellular tumor antigens,9,2025-01-11 17:17:27+00:00,2025-12-20 15:04:20+00:00,2025-12-20 15:04:17+00:00,8.693330702394142,13.157654908313138,60,23.082511498867255,88,38.95892947894067,67.96617132440409,88,52.20457767610161,27.184466019417478,25,45.09934020277795,90,43,30,58.55,27.17359777391345,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439109565384,0.3,0.30000000000000004,0.3,0.3,37.12688373718549,"project, ddos, data",10,2.4192407149541784,37.12688373718549,潜力一般
Olshansk/rss-feeds,Python,Generate RSS feeds for all the blogs that don't have one,201,2025-01-04 18:44:43+00:00,2025-12-20 15:03:55+00:00,2025-12-20 15:03:51+00:00,39.05957353377769,43.04504358152226,60,45.68959466704386,88,48.757477903574234,73.23246468702516,88,52.20457767610161,27.184466019417478,25,47.46917221595744,100,48,30,64.3,55.37083400969218,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.4904833360387687,0.3,0.6,0.4,0.42999999999999994,48.97089983072783,"ai, agent, telegram",10,1.4825488028222054,48.97089983072783,潜力中等
doms9/iptv,Python,tv channels & sporting events,44,2025-05-22 22:23:06+00:00,2025-12-20 15:03:42+00:00,2025-12-20 15:03:39+00:00,25.11693911237809,26.44120657653445,100,44.3011979467383,88,38.53959315433747,51.61710184602493,88,52.20457767610161,27.184466019417478,20,36.74225893750734,85,46,30,57.599999999999994,73.98822350247373,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.5649528940098949,0.4,0.5,0.3,0.41000000000000003,46.56280915438394,"otp, bot, tools",10,0.8640925109686202,46.56280915438394,潜力中等
DanPeled/Synapse,Python,Dynamic vision processing system for FRC coprocessors,9,2025-01-05 16:41:48+00:00,2025-12-20 15:03:03+00:00,2025-12-20 15:04:30+00:00,8.693330702394142,16.492130993713776,100,34.24957812875748,88,38.95892947894067,59.90432409806141,88,52.20457767610161,27.184466019417478,25,41.47150895092375,85,43,30,56.55,73.98871678839829,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.5649548671535931,0.3,0.4,0.35,0.34750000000000003,43.58829366544598,"github, config, jellyfin",10,0.8640761243649104,43.58829366544598,潜力中等
dipi-unimore/mininet-gym,Python,A customizable simulation framework based on Mininet for evaluating Reinforcement Learning strategies,29,2025-06-23 09:13:12+00:00,2025-12-20 15:02:19+00:00,2025-12-20 15:02:14+00:00,19.652467906573456,18.481610275449853,60,29.32955075903683,88,43.80779377586936,54.44853041725915,88,52.20457767610161,27.184466019417478,30,40.01640179456273,85,46,30,57.599999999999994,71.06635002310696,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.5532654000924279,0.3,0.4,0.3,0.335,41.74097605052031,"github, nix, automation",10,0.9611550469388294,41.74097605052031,潜力中等
typegg-io/eggert-bot,Python,,5,2025-02-02 16:53:50+00:00,2025-12-20 15:01:58+00:00,2025-12-20 15:01:55+00:00,6.923436994398174,16.54784119746344,0,8.561119216871473,88,22.41507579503516,59.07456992876324,88,52.20457767610161,27.184466019417478,20,40.09811957473958,90,43,30,58.55,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.4,0.2,0.3,0.30500000000000005,32.59629156908215,"project, ddos, data",10,2.4192407033260657,32.59629156908215,潜力一般
nghiahsgs/iqair-dataset,Python,iqair dataset,38,2025-01-20 08:26:15+00:00,2025-12-20 15:01:55+00:00,2025-12-20 15:01:52+00:00,22.74022654989959,22.34541185344134,60,31.916984768664307,88,42.52412397452965,53.75861376209447,88,52.20457767610161,27.184466019417478,20,37.70593929973863,85,46,30,57.599999999999994,27.172829228991468,0.5,0.3,0.5,0.44000000000000006,0.5,0.9,0.66,0.42769131691596585,0.3,0.4,0.3,0.335,39.41426039043313,"project, ddos, data",10,2.4192662454638536,39.41426039043313,潜力一般
Fzkuji/Ensemble-Hub,Python,A Unified Framework for LLM Ensemble,11,2025-05-04 03:02:15+00:00,2025-12-20 14:59:41+00:00,2025-12-20 14:59:37+00:00,13.56874505194014,18.481610275449853,60,26.896061617183506,88,26.581704698135834,45.19025718712198,88,52.20457767610161,27.184466019417478,20,33.850178841001004,85,46,30,57.599999999999994,55.37197860156458,0.5,0.3,0.5,0.44000000000000006,0.6,0.4,0.5,0.5004879144062583,0.4,0.4,0.3,0.37500000000000006,39.64380946062124,"proxy, list, http",10,1.4825107803032394,39.64380946062124,潜力一般
Phylmox/OpenBB-finance,Python,"Investment Research for Everyone, Everywhere.",6,2025-06-17 21:28:14+00:00,2025-12-20 14:58:35+00:00,2025-12-20 14:58:32+00:00,6.325183309178838,7.959596301084597,100,30.315932029051144,88,31.681246336522847,47.93103889465859,88,52.20457767610161,27.184466019417478,20,35.08353060939248,95,43,30,60.55,100.0,0.5,0.4,0.5,0.47,0.8,0.9,0.7800000000000001,0.7595000000000001,0.3,0.4,0.3,0.335,45.56818912914128,"github, config, jellyfin",1,-1.4426951601859516e-10,45.56818912914128,潜力中等
Quivnex/blankly-finance,Python,"Easily build, backtest and deploy your algo in just a few lines of code. Trade stocks, cryptos, and forex across exchanges one package.",8,2025-06-17 21:09:39+00:00,2025-12-20 14:58:22+00:00,2025-12-20 14:58:19+00:00,10.766169303030955,15.919192602169193,100,34.8781851319716,88,25.106793709749113,44.39755671640013,88,52.20457767610161,41.747572815533985,30,40.590551007816956,100,44,35,64.15,100.0,0.5,0.3,0.5,0.44000000000000006,0.6,0.6,0.58,0.6990000000000001,0.4,0.4,0.3,0.37500000000000006,47.94015648455629,"bot, automation, trading",1,-1.4426951601859516e-10,47.94015648455629,潜力中等
Raidensz/OTP-Bot-Telegram,Python,"OTP-Boss Bot is a Telegram bot that offers automatic voice call generation and OTP processing, integrated with Twilio and ElevenLabs APIs.",16,2025-04-30 19:23:11+00:00,2025-12-20 14:58:12+00:00,2025-12-20 14:58:09+00:00,20.776066263777462,34.83473168866876,100,45.502582596545054,88,15.158387774433407,55.174415916008414,88,52.20457767610161,27.184466019417478,32,40.7430502689999,100,46,32,64.1,100.0,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.669,0.5,0.5,0.4,0.475,52.01925570293624,"otp, bot, tools",1,-1.4426951601859516e-10,52.01925570293624,潜力中等
Raidensz/NB-OTP-Bot-Telegram,Python,The NB OTP Bot generates voice calls and processes OTPs automatically via Telegram.,8,2025-04-30 19:23:10+00:00,2025-12-20 14:57:36+00:00,2025-12-20 14:57:31+00:00,14.431057578946373,28.741384153166276,100,40.83190748518675,88,13.43279944458836,54.246987283290366,88,52.20457767610161,27.184466019417478,25,38.925707384276784,100,46,32,64.1,100.0,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.669,0.5,0.4,0.4,0.43999999999999995,49.78811834815205,"otp, bot, tools",1,-1.4426951601859516e-10,49.78811834815205,潜力中等
tom-doerr/repo_posts,Python,,172,2025-02-17 04:32:30+00:00,2025-12-20 14:57:21+00:00,2025-12-20 14:57:18+00:00,36.62512169746295,33.81178812328105,0,26.484174522133547,88,52.74137566268548,59.24994190762809,88,52.20457767610161,27.184466019417478,20,40.17703696522876,82,48,30,57.1,27.173598123954523,0.5,0.3,0.5,0.44000000000000006,0.5,0.4,0.4600000000000001,0.37769439249581815,0.3,0.5,0.4,0.395,38.675338873495505,"project, ddos, data",10,2.4192407033260657,38.675338873495505,潜力一般
sexfrance/Spotify-ClientVersion,Python,"A simple script that tracks Spotify Web client, ios and android version by checking it every 10 minutes.",5,2025-02-25 22:54:18+00:00,2025-12-20 14:56:09+00:00,2025-12-20 14:56:05+00:00,2.529317140887158,0.0,100,26.011726856354862,88,0.0,30.90374770098023,88,52.20457767610161,27.184466019417478,30,29.42124957223722,95,43,33,61.3,100.0,0.5,0.3,0.5,0.44000000000000006,0.5,0.6,0.54,0.6890000000000001,0.3,0.4,0.3,0.335,42.06218162853616,"bot, automation, trading",1,-1.4426951601859516e-10,42.06218162853616,潜力中等
Krexind/quant-trading,Python,"quantitative trading strategies including VIX Calculator, Pattern Recognition, Monte Carlo, Heikin-Ashi, Pair Trading",17,2025-06-17 20:46:18+00:00,2025-12-20 14:56:08+00:00,2025-12-20 14:56:04+00:00,15.36832798182936,15.919192602169193,100,36.71904860349096,88,37.89579879310469,51.27109039366227,88,52.20457767610161,41.747572815533985,30,43.68364116258492,85,51,30,59.349999999999994,100.0,0.5,0.3,0.3,0.38,0.8,0.9,0.7800000000000001,0.7280000000000001,0.3,0.5,0.3,0.37,48.778990383389726,"bot, automation, trading",1,-1.4426951601859516e-10,48.778990383389726,潜力中等
Orinks/AccessiWeather,Python,"An accessible desktop weather application with screen reader support. Get forecasts, alerts, and conditions from NWS, Open-Meteo, and Visual Crossing.",12,2025-03-12 18:21:35+00:00,2025-12-20 14:55:23+00:00,2025-12-20 14:55:20+00:00,7.662920298038213,2.3001775766318255,60,18.870230271036426,88,0.0,47.02744215366557,88,52.20457767610161,27.184466019417478,30,36.67691207594562,100,46,30,63.599999999999994,78.27090723116757,0.5,0.3,0.3,0.38,0.5,0.4,0.4600000000000001,0.5610836289246703,0.3,0.4,0.3,0.335,39.51461256144164,"github, config, jellyfin",10,0.7218248370255775,39.51461256144164,潜力一般
dr-schlange/nallely-midi,Python,"An organic platform inspired by ""systems as living things"" for live experimentations around MIDI, music, visuals, and interactions. Make it useful, make it useless",90,2025-03-27 17:14:36+00:00,2025-12-20 14:55:09+00:00,2025-12-20 14:55:06+00:00,24.97693297056404,28.16427148443585,100,44.84826820777816,88,78.4775568544296,73.0820193047824,88,52.20457767610161,27.184466019417478,30,48.401471793948204,87,46,30,58.400000000000006,100.0,0.5,0.4,0.5,0.47,0.5,0.4,0.4600000000000001,0.6795,0.3,0.6000000000000001,0.4,0.43000000000000005,51.84236141073419,"github, nix, automation",1,-1.4426951601859516e-10,51.84236141073419,潜力中等
sciknoworg/YESciEval,Python,YESciEval: Robust LLM-as-a-Judge for Scientific Question Answering https://pypi.org/project/YESciEval/,8,2025-02-16 01:53:53+00:00,2025-12-20 14:54:57+00:00,2025-12-20 14:55:00+00:00,7.9937883466917965,7.959596301084597,100,30.983374044056326,88,36.780787974909856,50.6718206021952,88,52.20457767610161,56.31067961165049,30,48.51105713506551,97,48,30,63.1,78.46475046867523,0.5,0.4,0.5,0.47,0.8,0.4,0.5800000000000001,0.623359001874701,0.3,0.4,0.3,0.335,46.08023497552121,"ai, agent, telegram",2,0.7153855040612875,46.08023497552121,潜力中等
