id,full_name,html_url,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,language,topics,description,source
957176912,Leox1024/homelab-ansible-ops,https://github.com/Leox1024/homelab-ansible-ops,2025-03-29T18:28:25Z,2025-12-20T15:05:23Z,2025-12-20T15:05:19Z,45,4,0,Python,"docker, k8s, linux, pve","Modular playbooks for system updates, hardening, Docker, Kubernetes, Proxmox VE and more",
915373189,frankligy/pan_cancer_intracellular_antigen_atlas,https://github.com/frankligy/pan_cancer_intracellular_antigen_atlas,2025-01-11T17:17:27Z,2025-12-20T15:04:20Z,2025-12-20T15:04:17Z,9,1,3,Python,,Accompanying codes for pan cancer atlas of intracellular tumor antigens,
912152163,Olshansk/rss-feeds,https://github.com/Olshansk/rss-feeds,2025-01-04T18:44:43Z,2025-12-20T15:03:55Z,2025-12-20T15:03:51Z,201,26,3,Python,,Generate RSS feeds for all the blogs that don't have one,
988664896,doms9/iptv,https://github.com/doms9/iptv,2025-05-22T22:23:06Z,2025-12-20T15:03:42Z,2025-12-20T15:03:39Z,44,9,0,Python,"epg, iptv, m3u, m3u8",tv channels & sporting events,
912463936,DanPeled/Synapse,https://github.com/DanPeled/Synapse,2025-01-05T16:41:48Z,2025-12-20T15:03:03Z,2025-12-20T15:04:30Z,9,1,7,Python,"frc, frc-vision, python, vision-processing",Dynamic vision processing system for FRC coprocessors,
1006970942,dipi-unimore/mininet-gym,https://github.com/dipi-unimore/mininet-gym,2025-06-23T09:13:12Z,2025-12-20T15:02:19Z,2025-12-20T15:02:14Z,29,4,0,Python,,A customizable simulation framework based on Mininet for evaluating Reinforcement Learning strategies,
926143483,typegg-io/eggert-bot,https://github.com/typegg-io/eggert-bot,2025-02-02T16:53:50Z,2025-12-20T15:01:58Z,2025-12-20T15:01:55Z,5,2,2,Python,,,
919349470,nghiahsgs/iqair-dataset,https://github.com/nghiahsgs/iqair-dataset,2025-01-20T08:26:15Z,2025-12-20T15:01:55Z,2025-12-20T15:01:52Z,38,6,0,Python,,iqair dataset,
977362650,Fzkuji/Ensemble-Hub,https://github.com/Fzkuji/Ensemble-Hub,2025-05-04T03:02:15Z,2025-12-20T14:59:41Z,2025-12-20T14:59:37Z,11,4,0,Python,,A Unified Framework for LLM Ensemble,
1003931694,Phylmox/OpenBB-finance,https://github.com/Phylmox/OpenBB-finance,2025-06-17T21:28:14Z,2025-12-20T14:58:35Z,2025-12-20T14:58:32Z,6,1,0,Python,"ai, crypto, derivatives, economics, equity, finance, fixed-income, machine-learning, openbb, options, python, quantitative-finance, stocks","Investment Research for Everyone, Everywhere.",
1003925264,Quivnex/blankly-finance,https://github.com/Quivnex/blankly-finance,2025-06-17T21:09:39Z,2025-12-20T14:58:22Z,2025-12-20T14:58:19Z,8,3,0,Python,"algotrading, binance, blankly, bot, bot-framework, bots, coinbase, crypto, cryptocurrency, framework, investment, platform, python, stocks, trading, trading-bot, trading-strategies","Easily build, backtest and deploy your algo in just a few lines of code. Trade stocks, cryptos, and forex across exchanges one package.",
